,mobile,PRICE,STORAGE
0,"REDMI 10 (Pacific Blue, 64 GB)","<div class=""_30jeq3 _1_WHN1"">₹9,999</div>","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 1 TB</li>"
1,"REDMI 10 (Midnight Black, 64 GB)","<div class=""_30jeq3 _1_WHN1"">₹9,999</div>","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 1 TB</li>"
2,"REDMI 10 (Midnight Black, 128 GB)","<div class=""_30jeq3 _1_WHN1"">₹11,999</div>","<li class=""rgWa7D"">6 GB RAM | 128 GB ROM | Expandable Upto 1 TB</li>"
3,"REDMI 10 (Shadow Black, 64 GB)","<div class=""_30jeq3 _1_WHN1"">₹9,999</div>","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 1 TB</li>"
4,"REDMI A1+ (Light Green, 32 GB)","<div class=""_30jeq3 _1_WHN1"">₹6,999</div>","<li class=""rgWa7D"">2 GB RAM | 32 GB ROM | Expandable Upto 512 GB</li>"
5,"REDMI 10 (Pacific Blue, 128 GB)","<div class=""_30jeq3 _1_WHN1"">₹11,999</div>","<li class=""rgWa7D"">6 GB RAM | 128 GB ROM | Expandable Upto 1 TB</li>"
6,"REDMI A1 (Black, 32 GB)","<div class=""_30jeq3 _1_WHN1"">₹6,428</div>","<li class=""rgWa7D"">2 GB RAM | 32 GB ROM</li>"
7,"REDMI A1 (Light Blue, 32 GB)","<div class=""_30jeq3 _1_WHN1"">₹6,449</div>","<li class=""rgWa7D"">2 GB RAM | 32 GB ROM</li>"
8,"REDMI A1+ (Light Blue, 32 GB)","<div class=""_30jeq3 _1_WHN1"">₹6,999</div>","<li class=""rgWa7D"">2 GB RAM | 32 GB ROM | Expandable Upto 512 GB</li>"
9,"REDMI A1 (Light Green, 32 GB)","<div class=""_30jeq3 _1_WHN1"">₹6,445</div>","<li class=""rgWa7D"">2 GB RAM | 32 GB ROM</li>"
10,"REDMI 9 Activ (Carbon Black, 128 GB)","<div class=""_30jeq3 _1_WHN1"">₹9,999</div>","<li class=""rgWa7D"">6 GB RAM | 128 GB ROM | Expandable Upto 512 GB</li>"
11,"REDMI 10 (Caribbean Green, 128 GB)","<div class=""_30jeq3 _1_WHN1"">₹11,999</div>","<li class=""rgWa7D"">6 GB RAM | 128 GB ROM | Expandable Upto 1 TB</li>"
12,"REDMI Note 12 Pro 5G (Glacier Blue, 128 GB)","<div class=""_30jeq3 _1_WHN1"">₹24,999</div>","<li class=""rgWa7D"">6 GB RAM | 128 GB ROM</li>"
13,"REDMI 10 (Sunrise Orange, 64 GB)","<div class=""_30jeq3 _1_WHN1"">₹9,999</div>","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 1 TB</li>"
14,"REDMI Note 12 Pro 5G (Stardust Purple, 128 GB)","<div class=""_30jeq3 _1_WHN1"">₹24,999</div>","<li class=""rgWa7D"">6 GB RAM | 128 GB ROM</li>"
15,"REDMI 10 (Caribbean Green, 64 GB)","<div class=""_30jeq3 _1_WHN1"">₹9,999</div>","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 1 TB</li>"
16,"REDMI 9 Activ (Coral Green, 128 GB)","<div class=""_30jeq3 _1_WHN1"">₹9,999</div>","<li class=""rgWa7D"">6 GB RAM | 128 GB ROM | Expandable Upto 512 GB</li>"
17,"REDMI Note 12 Pro 5G (Glacier Blue, 256 GB)","<div class=""_30jeq3 _1_WHN1"">₹27,999</div>","<li class=""rgWa7D"">8 GB RAM | 256 GB ROM</li>"
18,"REDMI Note 11S (Horizon Blue, 128 GB)","<div class=""_30jeq3 _1_WHN1"">₹15,324</div>","<li class=""rgWa7D"">6 GB RAM | 128 GB ROM</li>"
19,"REDMI Note 12 Pro+ 5G (Iceberg Blue, 256 GB)","<div class=""_30jeq3 _1_WHN1"">₹29,999</div>","<li class=""rgWa7D"">8 GB RAM | 256 GB ROM</li>"
20,"REDMI 10A (Slate Grey, 32 GB)","<div class=""_30jeq3 _1_WHN1"">₹8,295</div>","<li class=""rgWa7D"">3 GB RAM | 32 GB ROM</li>"
21,"REDMI A1+ (Light Blue, 32 GB)","<div class=""_30jeq3 _1_WHN1"">₹7,999</div>","<li class=""rgWa7D"">3 GB RAM | 32 GB ROM | Expandable Upto 512 GB</li>"
22,"REDMI 10A (Charcoal Black, 64 GB)","<div class=""_30jeq3 _1_WHN1"">₹8,841</div>","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM</li>"
23,"REDMI A1+ (Black, 32 GB)","<div class=""_30jeq3 _1_WHN1"">₹6,999</div>","<li class=""rgWa7D"">2 GB RAM | 32 GB ROM | Expandable Upto 512 GB</li>"
